No ,C,fcc,SP,W  ,FA,CA ,f
1,337.5,44.75,4.39,199,1162.92,585.83,38.76
2,337.5,44.75,4.39,159.7,1233.39,621.33,36.17
3,337.5,44.75,4.39,199,1162.92,585.83,38.12
4,337.5,44.75,4.39,159.7,1233.39,621.33,36.06
5,337.5,44.75,4.39,199,1162.92,585.83,38.45
6,337.5,44.75,4.39,159.7,1233.39,621.33,35.19
7,330,34.4,3.96,184.58,1152.54,620.6,28.59
8,330,34.4,3.96,168.66,1252.08,589.21,24.38
9,345,34.4,4.83,191.04,1183.06,556.74,30.44
10,345,34.4,4.83,172.14,1164.5,627.04,23.37
11,330,55.1,4.62,150.75,1292.34,608.16,42.47
12,330,55.1,4.62,208.96,1117.94,601.97,39.27
13,345,55.1,4.14,153.23,1207.19,650.02,39.05
14,345,55.1,4.14,217.91,1157.01,544.48,39.51
15,330,34.4,4.62,152.74,1227.89,661.17,28.49
16,330,34.4,4.62,208.46,1181.37,555.94,23.57
17,345,34.4,4.14,164.68,1262.91,594.31,27.56
18,345,34.4,4.14,217.91,1105.65,595.35,22.86
19,330,55.1,3.96,192.04,1211.48,570.11,42.48
20,330,55.1,3.96,169.65,1208.48,650.72,37.58
21,345,55.1,4.83,200.5,1133.46,610.32,42.19
22,345,55.1,4.83,182.59,1239.22,583.16,37.17
23,337.5,44.75,4.39,204.48,1146.71,577.67,37.84
24,337.5,44.75,4.41,204.48,1146.71,577.67,35.86
25,337.5,44.75,4.41,171.64,1225.45,617.33,32.59
26,337.5,44.75,4.41,204.48,1146.71,577.67,36.66
27,337.5,44.75,4.41,171.64,1225.45,617.33,35.26
28,337.5,44.75,4.41,171.64,1225.45,617.33,33.58
29,337.5,44.75,4.41,191.04,1155.31,582,37
30,337.5,44.75,4.42,164.68,1230.08,619.67,32.91
31,330,34.4,4.42,176.62,1148.01,618.16,28.94
32,330,34.4,4.42,173.13,1249.37,587.94,22.8
33,345,34.4,4.42,187.06,1173.25,552.12,29.34
34,345,34.4,4.42,178.11,1160.95,625.12,24.43
35,330,55.1,4.42,155.22,1288.96,606.57,42.17
36,330,55.1,4.42,193.03,1127.96,607.36,42.08
37,345,55.1,4.43,159.7,1202.66,647.59,38.62
38,345,55.1,4.43,202.99,1153.97,543.04,41.81
39,330,34.4,4.43,157.21,1224.98,659.6,26.38
40,330,34.4,4.43,193.53,1169.19,550.21,24.36
41,345,34.4,4.43,168.16,1260.2,593.03,27.44
42,345,34.4,4.43,201.49,1096.27,590.3,25.13
43,330,55.1,4.44,174.63,1210.13,569.47,43.25
44,330,55.1,4.44,173.63,1205.9,649.33,39.29
45,345,55.1,4.44,182.09,1135.4,611.37,44.19
46,345,55.1,4.44,186.07,1236.86,582.05,37.68
47,330,34.4,4.44,201,1122.14,604.23,26.56
48,337.5,34.4,4.44,213.93,1095.95,590.12,23.58
